대상공항,직원관련,터미널,주차장,보안검색,ID체크,연계교통,상업시설,공사업무,항공사
김포공항,72.7,55.0,38.2,45.4,66.5,64.6,43.9,30.7,34.3
김해공항,72.1,60.2,51.4,24.5,89.5,58.9,48.7,20.0,36.3
제주공항,48.4,62.5,32.6,8.3,35.6,44.4,47.8,17.7,25.7
청주공항,69.8,59.3,88.4,51.7,47.5,28.2,74.1,13.7,49.1
대구공항,70.7,62.6,49.8,68.0,60.7,8.0,30.0,0.0,36.1
광주공항,79.2,15.5,46.0,35.1,52.7,33.7,14.3,35.8,3.2
무안공항,6.3,66.9,0.0,29.7,68.0,73.0,48.1,76.1,74.1
여수공항,75.3,28.5,23.2,82.2,31.6,8.0,76.9,38.8,20.9
울산공항,70.0,78.7,0.0,40.8,7.1,8.0,6.1,26.2,62.2
