pseudo_user,VOC건수,대표공항,주VOC유형,주카테고리
f563cb49ed22eee0,4,김포공항,불편불만,직원관련
f04ccd3be9262f8d,4,제주공항,불편불만,직원관련
a264a3610e02ab1e,4,김포공항,불편불만,항공사
a2592f4964e3c32e,4,김포공항,불편불만,직원관련
a242be47ee9bdaef,4,김포공항,불편불만,기타
224b9f3f97beefed,4,김포공항,단순문의,주차장
80e08056d7b7db23,4,김포공항,불편불만,상업시설
f0ad257c3551baa3,4,김포공항,불편불만,연계교통
63c18076fc32de25,4,김해공항,불편불만,직원관련
eae1e199bb51af43,4,김포공항,불편불만,직원관련
641aaafffc63fc82,4,김해공항,불편불만,직원관련
81b16779d2f13b9c,4,김포공항,불편불만,주차장
7fd113b622a9734d,4,본사,VOC기타,공사업무
836d7b832bad9821,4,김포공항,불편불만,공사업무
2efe46cc889103c8,4,청주공항,불편불만,직원관련
8e2e8fcb307d123f,4,제주공항,불편불만,직원관련
ef30db5737c8ae43,4,김해공항,불편불만,직원관련
87629f26179b2a19,4,김포공항,불편불만,기타
88003b4708854ca0,4,김포공항,불편불만,직원관련
8b843a498a772ac5,4,김포공항,불편불만,직원관련
830c44e5121f0235,4,김포공항,불편불만,직원관련
955eaee93b571938,4,김포공항,단순문의,기타
9cf27945497e4fd2,4,김포공항,불편불만,터미널
487b7ffced877a7c,4,김포공항,불편불만,직원관련
53e598c3a9ea2d63,4,제주공항,불편불만,직원관련
044375fea0673259,4,김포공항,불편불만,보안검색
cd5c82c77a26d224,4,김포공항,불편불만,직원관련
5145240ebdb7e188,4,김포공항,불편불만,직원관련
92652e20b19a25fe,4,김포공항,불편불만,직원관련
5711c40cd6860c3e,4,청주공항,불편불만,주차장
5831841c4d572784,4,김포공항,불편불만,직원관련
d0bd09fc83cfd613,4,김포공항,불편불만,직원관련
ee6859db5b8c91c4,4,김포공항,불편불만,직원관련
25fad3571b5f7297,4,김포공항,불편불만,기타
096cd2ba1c902687,4,김해공항,불편불만,기타
2c9e3c80cfec4ace,4,김해공항,불편불만,직원관련
d8dd8f10f1c4aa29,4,김포공항,불편불만,직원관련
27bb505134fb14f5,4,김포공항,불편불만,직원관련
df102b40a34112d3,4,본사,사실확인,기타
23d441445249c8d6,4,김포공항,불편불만,직원관련
7ae6144609dba2f8,4,김포공항,불편불만,기타
6590b3eba5fd0fd5,4,김포공항,불편불만,주차장
64a182cf1ce73381,4,김포공항,불편불만,직원관련
06ce9e15775cf94b,4,김포공항,불편불만,직원관련
697ce935ba7dde6b,4,김해공항,불편불만,직원관련
7acc23f484553728,4,김포공항,불편불만,상업시설
65ce6cbd41fc0a3a,4,청주공항,불편불만,주차장
df1ad55537d8c02b,4,제주공항,불편불만,직원관련
2d87eb46f62d2c96,4,김해공항,불편불만,직원관련
61317f17022ac962,4,김포공항,단순문의,기타
607615854b775fe1,4,김포공항,불편불만,주차장
7588462cf4cd0702,4,김포공항,불편불만,ID체크
e5440e52d56de8f5,4,김해공항,불편불만,터미널
29aaed6dedd798b9,4,김포공항,불편불만,주차장
6e9e54657d43947a,4,김포공항,불편불만,연계교통
27d8a5f5510ac39e,4,김포공항,불편불만,연계교통
7232c95ebf6de7e3,4,김해공항,불편불만,직원관련
28efd0ae9f7a2441,4,김포공항,불편불만,직원관련
29a0d4c77530cde2,4,김포공항,불편불만,주차장
7450e9c427082e3a,4,김포공항,불편불만,직원관련
07707c462b25247a,4,김포공항,불편불만,터미널
bd66f1fca86540d6,4,김포공항,불편불만,직원관련
362a3ff3bdee6b9d,4,제주공항,불편불만,주차장
e0b5bb1c997f445d,4,김포공항,불편불만,직원관련
69cd5672c7b54410,4,김해공항,불편불만,주차장
129ae55ac83570d1,4,제주공항,불편불만,직원관련
bc0f0d3c5c24748e,4,김포공항,불편불만,ID체크
fac234b34fe7c11f,4,김해공항,불편불만,직원관련
fc2606a9c3f1ecde,4,김포공항,제안건의,기타
ffc2399e344274ab,3,김해공항,불편불만,직원관련
3ad48fc4f7da2aa3,3,제주공항,불편불만,직원관련
fbc6e22b956a1cb5,3,김포공항,불편불만,보안검색
12eee483f62c0330,3,김포공항,불편불만,직원관련
bb6aa8f2e0794a96,3,김포공항,불편불만,직원관련
c3819385485f2b8c,3,김포공항,단순문의,기타
4465870870a57911,3,제주공항,불편불만,상업시설
f73fee502a67ef21,3,김해공항,불편불만,기타
f7c5daf4ea625531,3,김포공항,불편불만,직원관련
f6b60af92ee95cf9,3,김해공항,불편불만,직원관련
f62fcf1fa7238b0e,3,김해공항,불편불만,직원관련
43a43ef3e60f9e48,3,김포공항,불편불만,직원관련
